t_ms,condition,mode,band,f_lo,f_hi,energyN,threshold,hysteresis,cooldown_ms
42372,baseline,FILE,0,0.00,200.00,0.055606,9.000,1.500,120
43354,baseline,FILE,0,0.00,200.00,0.023392,9.000,1.500,120
44354,baseline,FILE,0,0.00,200.00,0.087154,9.000,1.500,120
46034,MARK,mark-1
46414,baseline,FILE,3,3000.00,8000.00,0.866980,26.532,1.150,120
46449,baseline,FILE,4,8000.00,20000.00,0.736678,9.749,1.150,120
46459,baseline,FILE,1,200.00,800.00,0.718112,69.436,1.150,120
46576,baseline,FILE,4,8000.00,20000.00,0.238445,9.749,1.150,120
46593,baseline,FILE,0,0.00,200.00,0.023106,9.703,1.150,120
47210,baseline,FILE,2,800.00,3000.00,0.021392,57.339,1.150,120
47210,baseline,FILE,3,3000.00,8000.00,0.022202,26.532,1.150,120
47261,baseline,FILE,0,0.00,200.00,0.010738,9.703,1.150,120
48183,MARK,mark-2
48462,baseline,FILE,2,800.00,3000.00,0.172366,57.339,1.150,120
48462,baseline,FILE,3,3000.00,8000.00,0.142509,26.532,1.150,120
48579,baseline,FILE,4,8000.00,20000.00,0.024624,9.749,1.150,120
48677,baseline,FILE,2,800.00,3000.00,0.505172,57.339,1.150,120
48678,baseline,FILE,3,3000.00,8000.00,0.293479,26.532,1.150,120
48828,baseline,FILE,4,8000.00,20000.00,0.056827,9.749,1.150,120
49143,baseline,FILE,3,3000.00,8000.00,0.047463,26.532,1.150,120
49879,baseline,FILE,2,800.00,3000.00,0.117168,57.339,1.150,120
49879,baseline,FILE,3,3000.00,8000.00,0.137037,26.532,1.150,120
49978,baseline,FILE,0,0.00,200.00,0.007461,9.703,1.150,120
50446,baseline,FILE,4,8000.00,20000.00,0.000991,9.749,1.150,120
51594,baseline,FILE,2,800.00,3000.00,0.038717,57.339,1.150,120
51595,baseline,FILE,4,8000.00,20000.00,0.000022,9.749,1.150,120
51661,baseline,FILE,3,3000.00,8000.00,0.063158,26.532,1.150,120
51961,baseline,FILE,0,0.00,200.00,0.037955,9.703,1.150,120
51961,baseline,FILE,1,200.00,800.00,0.016218,69.436,1.150,120
51962,baseline,FILE,2,800.00,3000.00,0.402712,57.339,1.150,120
51962,baseline,FILE,3,3000.00,8000.00,0.248547,26.532,1.150,120
52011,baseline,FILE,4,8000.00,20000.00,0.020703,9.749,1.150,120
52129,baseline,FILE,3,3000.00,8000.00,0.183638,26.532,1.150,120
52178,baseline,FILE,2,800.00,3000.00,0.195834,57.339,1.150,120
52378,baseline,FILE,2,800.00,3000.00,0.052598,57.339,1.150,120
52378,baseline,FILE,3,3000.00,8000.00,0.137940,26.532,1.150,120
52495,baseline,FILE,1,200.00,800.00,0.016552,69.436,1.150,120
52495,baseline,FILE,4,8000.00,20000.00,0.035614,9.749,1.150,120
52594,baseline,FILE,0,0.00,200.00,0.005227,9.703,1.150,120
52795,baseline,FILE,4,8000.00,20000.00,0.015021,9.749,1.150,120
52845,baseline,FILE,1,200.00,800.00,0.117073,69.436,1.150,120
52845,baseline,FILE,3,3000.00,8000.00,0.084925,26.532,1.150,120
52896,baseline,FILE,2,800.00,3000.00,0.027716,57.339,1.150,120
52928,baseline,FILE,4,8000.00,20000.00,0.057686,9.749,1.150,120
53029,baseline,FILE,2,800.00,3000.00,0.108702,57.339,1.150,120
53046,baseline,FILE,0,0.00,200.00,0.004976,9.703,1.150,120
53313,baseline,FILE,3,3000.00,8000.00,0.047218,26.532,1.150,120
53313,baseline,FILE,4,8000.00,20000.00,0.013244,9.749,1.150,120
53529,baseline,FILE,2,800.00,3000.00,0.001431,57.339,1.150,120
53529,baseline,FILE,4,8000.00,20000.00,0.004383,9.749,1.150,120
53628,baseline,FILE,3,3000.00,8000.00,0.028251,26.532,1.150,120
